sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
25765,45073,39.663,-90.497,p81,3,2,1023.002915625,11110.581718375051
25760,45068,39.689,-91.209,p81,3,2,1779.74465625,11174.645575274038
30088,51161,38.052,-89.515,p81,3,2,1170.73906875,11277.818157832906
21613,39757,41.003,-89.79700000000001,p81,3,2,797.0689828124998,11368.524025707316
23757,42413,40.345,-90.438,p81,3,2,1011.1292015625,11485.777761069972
30625,51928,37.806,-88.565,p81,3,3,1293.532284375,11491.084665634564
30883,52301,37.759,-89.54299999999999,p81,3,3,1883.176340625,11745.357912363916
29322,50017,38.37,-90.044,p81,3,3,1593.3979546874998,11866.731792748156
28013,48124,38.812,-89.016,p81,3,3,909.0861609375,12029.434777018172
29573,50402,38.24,-89.35600000000001,p81,3,3,1585.501846875,12158.692574446924
29826,50780,38.156,-89.64399999999999,p81,3,3,1852.1481515625,12196.08894186684
28812,49256,38.572,-90.166,p81,3,3,478.56021328125,12224.7348706411
30626,51929,37.798,-88.427,p81,3,3,1760.0892468749996,12280.48573957074
30888,52306,37.723,-88.852,p81,3,3,1077.2700046875,12313.046809669266
29829,50783,38.136,-89.227,p81,3,3,1394.9936437499996,12410.879939190048
26330,45830,39.484,-90.939,p81,3,3,1034.6865328125,12515.083402154614
20100,37853,41.514,-90.335,p81,3,3,920.380725,12573.8492367729
27464,47362,39.021,-89.277,p81,3,3,1327.758328125,12653.053074945316
26331,45831,39.479,-90.797,p81,3,3,633.5479546875,12806.27489546464
28816,49260,38.547,-89.60600000000001,p81,3,3,849.538378125,12813.803657214854
21929,40133,40.93,-90.387,p81,3,3,439.52631328125,12957.37366493758
24058,42797,40.224,-89.87200000000001,p81,3,3,1761.5930625,12976.1914625501
23761,42417,40.321,-89.863,p81,3,3,1354.744996875,12991.150443349628
29075,49638,38.462,-89.895,p81,3,3,1064.003090625,13009.171560530212
28546,48878,38.657,-89.87700000000001,p81,3,3,865.286803125,13059.022695354366
29582,50411,38.173,-88.105,p81,3,3,1434.0148875,13118.71982209104
26898,46596,39.255,-90.105,p81,3,3,1581.797109375,13233.673738250684
24057,42796,40.23,-90.016,p81,3,3,1252.651078125,13283.081137148518
23758,42414,40.339,-90.294,p81,3,4,754.14853828125,13288.726789201262
30623,51926,37.821,-88.84200000000001,p81,3,4,1625.42041875,13490.64601167866
27173,46974,39.169,-90.396,p81,3,4,726.42470625,13590.8621999047
29828,50782,38.143,-89.366,p81,3,4,1300.3000875,13676.340766565112
30356,51545,37.926,-88.97,p81,3,4,800.33473828125,13717.978592092324
23162,41648,40.567,-91.143,p81,3,4,719.2064671874998,13767.318247900495
22249,40513,40.832,-90.395,p81,3,4,674.9842007812498,13990.85782073809
30892,52310,37.693000000000005,-88.3,p81,3,4,689.014603125,14268.9724005914
26054,45453,39.565,-90.505,p81,3,4,1642.823521875,14271.408734353288
25192,44307,39.889,-91.337,p81,3,4,395.798653125,14289.957456385397
29324,50019,38.358,-89.765,p81,3,4,1234.1270109375,14396.55233471824
24907,43930,39.972,-90.901,p81,3,4,2013.546853125,14473.371168861557
29080,49643,38.429,-89.197,p81,3,4,787.1505328124998,14551.418873836814
20396,38233,41.417,-90.344,p81,3,4,609.400715625,14610.671383513769
19799,37477,41.587,-89.73899999999999,p81,3,4,1888.534490625,14671.91461971719
23462,42032,40.448,-90.574,p81,3,4,808.2135703125,14722.148126514789
29081,49644,38.421,-89.05799999999999,p81,3,4,1528.0319671875,14743.202361374802
23752,42408,40.372,-91.158,p81,3,4,806.0182171875,14775.597504204454
25481,44696,39.743,-90.061,p81,3,4,1098.4612499999996,14778.639189563262
29323,50018,38.364,-89.904,p81,3,4,1282.82686875,14869.576703359658
27180,46981,39.125,-89.40799999999999,p81,3,4,786.04171875,14935.80964730771
20702,38620,41.275,-89.331,p81,3,4,325.0265484375,14942.958814527732
21305,39375,41.113,-90.078,p81,3,4,759.2097726562498,14964.85966119235
24617,43553,40.053,-90.463,p81,3,4,1310.3186484375,14980.26436768954
29572,50401,38.247,-89.495,p81,3,4,1839.220425,14994.259439765989
25479,44694,39.755,-90.346,p81,3,4,773.1384187499998,15013.231392824118
20104,37857,41.49,-89.749,p81,3,5,1871.76166875,15163.491516033144
29082,49645,38.414,-88.91799999999999,p81,3,5,1597.9067437499998,15301.676852520506
28820,49264,38.519,-89.04700000000001,p81,3,5,1367.86370625,15390.045040944711
29329,50024,38.324,-89.068,p81,3,5,1475.9165671874996,15416.052235265082
23759,42415,40.333,-90.15,p81,3,5,1359.802940625,15461.313710925737
27739,47738,38.95,-89.85,p81,3,5,1607.8207640624996,15569.540726364969
29076,49639,38.455,-89.756,p81,3,5,1157.809190625,15686.68184822776
31694,53446,37.43,-88.883,p81,3,5,612.6273,15710.606622286585
29832,50786,38.114,-88.81,p81,3,5,1243.167496875,15844.80106679877
