year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2020,11858,,34.14852,-116.35859,p10,7,,18401.17,8.397179739507958,0
2020,11856,,34.079227,-116.472916,p10,7,,20456.236,2.583747612156295,0
2020,11857,,34.089787,-116.40877,p10,7,,117431.664,78.14399572525883,0
2020,13042,,32.770965999999994,-117.02311,p11,6,,323.3736,0.9683925773195876,0
2020,13160,,32.674343,-116.99478,p11,6,,5668.8203,18.399458969072164,0
2020,13261,,32.61513,-117.04343,p11,6,,7617.384,6.632148453608249,0
2020,9745,,36.79183,-114.15926,p13,5,,30567.682,6.356985081081081,0
2020,9747,,36.80115,-114.092224,p13,5,,40542.805,6.443014918918948,0
2020,754,,45.779340000000005,-111.125336,p18,2,,4266.7085,1.8375384615384602,0
2020,591,,46.573597,-112.062546,p18,3,,9820.824,9.241323832923833,0
2020,779,,45.68057,-110.62238,p18,3,,10772.159,1.9119980343980345,0
2020,750,,45.763767,-111.28072,p18,3,,12531.99,0.318666339066339,0
2020,567,,46.621693,-112.07601,p18,3,,22295.428,0.6904733320733243,0
2020,845,,45.723392,-108.48793,p20,3,,3943.4148,1.8144,0
2020,816,,45.78447,-108.34219,p20,3,,8454.815,1.1856,0
2020,7237,,39.645092,-110.76543,p25,5,,843.6955,4.867444255975326,0
2020,8538,,38.579754,-109.60382,p25,5,,5673.4917,3.6505831919814944,0
2020,7236,,39.637493,-110.83582,p25,5,,5945.368,0.9734888511950652,0
2020,8539,,38.586735,-109.53441,p25,5,,7574.844,39.20848370084811,0
2020,10947,,35.201405,-114.08028,p27,6,,3519.6436,2.7840800834202293,0
2020,10946,,35.08698,-114.52548,p27,6,,7436.1284,7.5159199165797705,0
2020,13547,,32.675846,-114.493805,p28,7,,5455.411999999999,32.89999999999998,1
2020,14200,,32.070159999999994,-110.836845,p30,6,,4896.062,23.360000000000014,1
2020,14282,,32.305054,-107.77826,p31,6,,437.23062,17.02606788526435,1
2020,12102,,35.099277,-106.57132,p31,6,,1104.8547,6.18162442242796,1
2020,14807,,31.813198,-106.60987,p31,7,,5110.652,34.89230769230774,0
2020,8360,,39.039272,-108.41655,p33,5,,2132.0273,1.0368000000000002,0
2020,8068,,39.61901,-104.728065,p33,5,,4096.9688,88.56319999999998,1
2020,8605,,38.92872,-104.77772,p34,5,,3559.823,12.52777193136824,0
2020,9614,,38.0721,-102.570206,p34,5,,5029.1655,10.31698864936208,1
2020,8608,,38.880035,-104.7712,p34,5,,5328.7188,2.555239419269679,1
2020,531,,45.591522,-121.11373,p5,3,,1131.2489,4.157179331306992,1
2020,769,,44.279114,-121.10976,p5,3,,3019.8196,10.133124620060793,1
2020,715,,44.621094,-121.17671,p5,3,,6510.3413,13.510832826747723,1
2020,503,,45.68119,-121.47882,p5,3,,7857.986999999999,10.076093991115293,1
2020,765,,44.253525,-121.25785,p5,4,,9217.217,37.8432,1
2020,861,,43.979927,-121.378334,p5,4,,9485.41,3.888,1
2020,800,,44.219315,-121.16369,p5,4,,15843.927,4.147199999999999,1
2020,798,,44.206512,-121.23766,p5,4,,17313.236,0.2591999999999999,1
2020,797,,44.146667,-121.2914,p5,4,,23590.7,11.285169230769274,1
2020,14814,,31.879026,-106.42706,p59,7,,5988.484,5.0,0
2020,1527,,42.182365,-122.62987,p6,4,,645.1009,0.5184000000000001,0
2020,1712,,42.188034,-121.784225,p6,4,,2851.4126,4.381599999999999,0
2020,803,,44.745987,-117.87875,p7,3,,11777.316,2.692731753554502,0
2020,772,,44.79343,-117.89646,p7,3,,11844.818,3.3659146919431278,0
2020,916,,44.22686,-116.97883600000002,p7,3,,102972.23,16.64135355450236,1
2020,4022,,40.394806,-120.52324,p8,5,,53046.69,2.3999999999999986,0
2020,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2020,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,0
2020,9792,,35.546326,-120.708725,p9,6,,21117.752,97.84944160177976,0
2020,9595,,36.004414000000004,-120.17831,p9,6,,23141.48,20.586505895439377,0
2020,9596,,35.956863,-120.16129,p9,6,,23286.225,0.2541543937708564,0
2020,9793,,35.606506,-120.66117,p9,6,,24231.508,63.75787675194661,1
2022,314,,47.053204,-120.51775,p1,3,,12552.883999999998,0.5,0
2022,11835,,33.965022999999995,-117.44759,p10,6,,2607.9307,10.59921713369329,0
2022,10148,,35.315983,-118.96942,p10,6,,2981.9246,10.346854820986309,0
2022,11719,,34.050117,-117.54101,p10,6,,3417.8198,22.20788351821452,0
2022,11721,,34.06122,-117.47704,p10,6,,3648.1838,0.7570869381209493,0
2022,11951,,33.84662,-117.5458,p10,6,,4142.2236,13.122840260763123,0
2022,13461,,32.744026,-114.70852,p10,6,,4473.7935,9.085043257451392,0
2022,10085,,35.42331,-118.93656,p10,6,,5035.5347,0.2523623127069831,0
2022,11730,,34.094326,-117.285034,p10,6,,5761.979,6.813782443088544,0
2022,11604,,34.098194,-117.55581,p10,6,,5860.029,7.570869381209493,0
2022,10922,,34.371902,-118.860855,p10,6,,6504.3164,0.2523623127069831,0
