"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p5","p6","AC","fall","2030",5401.44649270677
"p5","p6","AC","fall","2032",4657.04351224078
"p5","p6","AC","fall","2034",3760.58399505644
"p5","p6","AC","fall","2036",2810.76073727902
"p5","p6","AC","fall","2038",2027.82102187638
"p5","p6","AC","fall","2040",1687.47419292132
"p5","p6","AC","fall","2042",3345.64329832793
"p5","p6","AC","fall","2044",3754.63482269543
"p5","p6","AC","fall","2046",5431.70145684218
"p5","p6","AC","fall","2048",6974.6162934457
"p5","p6","AC","fall","2050",7083.24472127121
"p5","p6","AC","wint","2024",2211.61940154242
"p5","p6","AC","wint","2026",1485.5034679285
"p5","p6","AC","wint","2028",347.321554359594
"p5","p6","AC","wint","2030",3381.80701421819
"p5","p6","AC","wint","2032",2633.68892226555
"p5","p6","AC","wint","2034",626.151850999285
"p5","p6","AC","wint","2048",2374.71917255128
"p5","p6","AC","wint","2050",5091.48087801997
"p5","p6","AC","spri","2024",2118.89082262211
"p5","p6","AC","spri","2026",5082.89378432831
"p5","p6","AC","spri","2028",2250.85904469349
"p5","p6","AC","spri","2030",2355.94191712447
"p5","p6","AC","spri","2032",2620.23427354809
"p5","p6","AC","spri","2034",3784.3467093758
"p5","p6","AC","spri","2040",1564.915225019
"p5","p6","AC","spri","2042",3487.56093167098
"p5","p6","AC","spri","2044",1853.37320306225
"p5","p6","AC","spri","2046",1972.7214756993
"p5","p6","AC","spri","2048",2743.39421309211
"p5","p6","AC","spri","2050",2220.55887495218
"p5","p7","AC","summ","2022",669.6
"p5","p7","AC","fall","2022",669.6
"p5","p7","AC","fall","2026",186.022698450003
"p5","p7","AC","fall","2028",669.6
"p5","p7","AC","wint","2024",669.6
"p5","p7","AC","wint","2026",669.6
"p5","p7","AC","wint","2028",669.6
"p5","p7","AC","spri","2022",669.6
"p5","p7","AC","spri","2024",669.6
"p5","p7","AC","spri","2026",669.6
"p5","p7","AC","spri","2028",669.6
"p5","p7","AC","spri","2030",669.6
"p5","p7","AC","spri","2032",669.6
"p5","p7","AC","spri","2034",669.6
"p5","p10","LCC","summ","2022",2780
"p5","p10","LCC","summ","2024",2650.31584668504
"p5","p10","LCC","summ","2026",1949.76928265088
"p5","p10","LCC","summ","2028",359.29449911288
"p5","p10","LCC","summ","2050",1658.45902037009
"p5","p10","LCC","fall","2022",2780
"p5","p10","LCC","fall","2024",2780
"p5","p10","LCC","fall","2026",2780
"p5","p10","LCC","fall","2028",2780
"p5","p10","LCC","fall","2048",230.650456377854
"p5","p10","LCC","fall","2050",2295.02882966491
"p5","p10","LCC","wint","2028",1880.89969494351
"p5","p15","AC","summ","2022",899.739
"p5","p15","AC","fall","2022",573.043807823929
"p5","p15","AC","fall","2024",403.96979573824
"p5","p15","AC","fall","2026",532.62572778939
"p5","p15","AC","fall","2030",243.032724545843
"p5","p15","AC","wint","2022",899.739
"p5","p15","AC","wint","2024",899.739
"p5","p15","AC","wint","2026",899.739
"p5","p15","AC","wint","2028",168.368156704236
"p5","p15","AC","wint","2030",90.2442071251921
"p5","p15","AC","spri","2022",899.739
"p5","p15","AC","spri","2026",899.739
"p5","p15","AC","spri","2028",899.739
"p5","p15","AC","spri","2030",899.739
"p5","p15","AC","spri","2032",899.739
"p6","p5","AC","wint","2022",1439.82425761472
"p6","p5","AC","wint","2036",1331.22195829326
"p6","p5","AC","wint","2038",794.742216132057
"p6","p5","AC","wint","2040",993.245454231885
"p6","p5","AC","spri","2022",1551.448047
"p6","p7","AC","fall","2028",377.375
"p6","p7","AC","wint","2022",377.375
"p6","p7","AC","wint","2024",377.375
"p6","p7","AC","wint","2026",377.375
"p6","p7","AC","wint","2028",377.375
"p6","p7","AC","wint","2030",377.375
"p6","p7","AC","spri","2022",377.375
"p6","p7","AC","spri","2024",377.375
"p6","p7","AC","spri","2026",377.375
"p6","p7","AC","spri","2028",377.375
"p6","p7","AC","spri","2030",377.375
"p6","p7","AC","spri","2032",377.375
"p6","p7","AC","spri","2034",377.375
"p6","p8","AC","summ","2022",576.845
"p6","p8","AC","summ","2024",576.845
"p6","p8","AC","summ","2026",576.845
"p6","p8","AC","summ","2028",571.674426725878
"p6","p8","AC","summ","2030",499.326311298674
"p6","p8","AC","summ","2032",502.579034953793
